VOL_WINDOW,SORTINO_WINDOW,IR_WINDOW,TACTICAL_MAX_WEIGHT,ALLOC_SMOOTH_SPAN,NO_TRADE_BAND,run_id,cagr,ann_vol,sharpe,sortino,max_dd,calmar,status
11,378,189,0.75,15,0.05,41,0.16665494688682436,0.2487820172538705,0.6698834133045908,0.7924122652975357,-0.44126282008519174,0.3776772918566975,ok
21,189,378,0.625,13,0.1,42,0.1662714108026484,0.22134332109201305,0.7511923557590829,0.9022644730305411,-0.3172857589068989,0.5240430940722977,ok
32,189,315,0.625,15,0.15,43,0.15835283782858722,0.22028785843424137,0.7188450555292746,0.8803531025366456,-0.32713364992624666,0.48406159948476224,ok
26,378,315,0.75,8,0.15,44,0.1345686098855039,0.24149779044609385,0.5572250149242742,0.6452501709543285,-0.3904615732974859,0.3446398290849953,ok
21,252,315,0.25,15,0.05,45,0.1581827067795163,0.22114701485544272,0.7152830296303826,0.8822665983314383,-0.34782802683235914,0.4547727456584595,ok
16,378,126,0.25,10,0.125,46,0.15008775363739724,0.2359779888957748,0.6360243781198043,0.781275312362519,-0.35463668855620806,0.42321552868213497,ok
26,189,126,0.75,10,0.125,47,0.15194722302583652,0.23832579176436613,0.6375609702204094,0.7430109317923395,-0.38209111567207105,0.39767274556638715,ok
16,252,189,0.625,8,0.1,48,0.16722688380572004,0.23622515247915013,0.7079131161550628,0.8508029764364219,-0.3705099425418039,0.4513425001728588,ok
26,126,315,0.25,10,0.15,49,0.1627311903065236,0.22919970011961102,0.7099973962513917,0.8932467111550818,-0.3681762143028859,0.4419926762912779,ok
26,252,378,0.625,10,0.075,50,0.14454163324369307,0.21762907917306662,0.6641650729438977,0.7887328670788578,-0.3396431026948312,0.425569169804586,ok
