Date,portfolio_plot,benchmark_plot,es_only_plot,es_weighted_plot,alts_weighted_plot
2023-11-13,16613822.929876516,4703959.606696781,12618070.044087272,5348072.728919825,3634141.9571559737
2023-11-14,17197974.255467635,4795110.284347591,13075707.88818925,5439268.293381042,3699950.8813790483
2023-11-15,17256095.404138856,4803879.883072013,13119737.18514367,5447888.724677762,3706591.1214438067
2023-11-16,17305568.95162548,4808131.809726279,13141084.723060964,5452060.851931632,3714379.3886490245
2023-11-17,17320993.15519375,4812649.481796436,13166719.558176646,5457348.351982255,3714087.6939062686
2023-11-20,17576496.509878825,4849588.094605364,13390993.233612746,5500755.055120541,3739333.356505139
2023-11-21,17454163.69942483,4837895.296306135,13307575.18782736,5483575.486559076,3724985.9334397786
2023-11-22,17574538.44809316,4854903.002923196,13428747.879243618,5508614.046250629,3733667.0868447614
2023-11-23,17596029.573616683,4857294.711666222,13445787.788974028,5512126.944041656,3735851.8266200717
2023-11-24,17536090.63537794,4855965.984586762,13434674.362389227,5509854.050222084,3724666.5155145754
2023-11-27,17503321.573538747,4848259.367525907,13370924.00659693,5496770.600589179,3726550.789410611
2023-11-28,17604423.711101446,4850385.330853039,13388510.31164308,5500377.998781414,3745630.3297455586
2023-11-29,17561539.33938811,4846399.149614667,13355535.989681548,5493648.558586471,3741088.5684960335
2023-11-30,17613943.615183856,4865001.328727075,13509416.158835372,5525090.784778837,3730840.450379966
2023-12-01,17857900.327506363,4890512.8886526665,13720451.819389187,5568329.323190563,3753316.349452283
2023-12-04,17395290.918892726,4864735.583311183,13507217.870704602,5524899.985382413,3685360.004318449
2023-12-05,17418892.028191864,4863141.110815834,13494028.14191999,5522163.70290025,3692185.351827094
2023-12-06,17142377.85827962,4842944.459208074,13326958.243981551,5487568.22793103,3656705.1385138705
2023-12-07,17682563.334702235,4878554.344937545,13621528.853504585,5549161.123723767,3730890.9905359144
2023-12-08,17815848.250205483,4897688.014881739,13779805.598919949,5581604.912445093,3737200.058948752
2023-12-11,18123392.56012691,4917353.175657717,13942478.920596847,5614893.951788613,3779424.209652047
2023-12-12,18433451.587728348,4938347.06351315,14116143.682927594,5650037.540467427,3820428.044749308
2023-12-13,19133368.061105847,5004783.417486043,14665715.715619821,5760065.139162256,3891091.166269501
2023-12-14,19312728.041588098,5019133.6699441895,14791234.155826384,5783407.602428778,3911798.5139059178
2023-12-15,19118454.58815612,4989922.954590748,14535631.117066309,5736143.268380712,3904417.1625797627
2023-12-18,20381768.21138367,5094871.113473288,15453960.846348079,5906278.087584171,4046608.570245953
2023-12-19,20727341.136126563,5123837.363805469,15707424.738512514,5956030.864379387,4081131.368294163
2023-12-20,19855638.48207981,5048897.156524045,15008613.084789911,5828350.930296518,3996984.124594593
2023-12-21,20485627.753686212,5098857.2947116615,15448113.145782877,5915302.991729093,4064172.1165237767
2023-12-22,20588461.402083687,5107892.638851974,15527607.310789179,5930772.155313014,4073945.1726194737
2023-12-26,20888114.644411508,5128886.52670741,15712314.341245,5966629.211828322,4108608.303745992
2023-12-27,21021391.311929055,5137921.870847724,15794797.161559723,5981931.942040444,4124285.861480268
2023-12-28,20949859.31077572,5136593.143768267,15782662.102803167,5979690.073140178,4111797.3335396876
2023-12-29,20725090.02794126,5123571.6183895795,15663738.526988912,5957653.00363629,4082835.492562835
2024-01-02,19984931.452230792,5088758.968907784,15345799.987567125,5898318.095870885,3977687.280732912
2024-01-03,19410096.878742322,5045442.466117457,14950197.072103376,5822517.376227056,3914393.697329069
2024-01-04,19205266.07279052,5027371.777836829,14800621.98976287,5793468.979565784,3892614.7108413163
2024-01-05,19259206.064922486,5032952.431570552,14846786.040509019,5802484.570265923,3897489.9763194807
2024-01-08,20050905.59861419,5103640.712197712,15431530.68329355,5916539.427576056,3981096.5108329603
2024-01-09,20011094.24638064,5094605.368057398,15352417.724321485,5902261.366930075,3982799.3505105167
2024-01-10,20300631.76126976,5123837.363805471,15608206.97329477,5948435.294737219,4009268.073906956
2024-01-11,20269244.54074739,5118788.20090353,15564025.193926657,5940512.045384098,4008409.563103708
2024-01-12,20332514.56204569,5119851.182567097,15573326.62116205,5942180.455615266,4019795.9558195067
2024-01-16,20193125.298425257,5100717.512622905,15405900.93092499,5912234.113928769,4012496.5529779494
2024-01-17,19880354.019827064,5071751.262290723,15152437.038760552,5866815.788743676,3981171.3685008134
2024-01-18,20409291.288761854,5114270.528833373,15493921.404230403,5934013.557893569,4041494.692606653
2024-01-19,21129109.290453415,5176189.210736112,16020875.212224545,6030425.996030437,4118370.824531877
2024-01-22,21201645.257943857,5188413.4998671245,16124919.045835735,6049110.482626785,4119748.906369123
2024-01-23,21376983.436432775,5203295.243157053,16251581.104145011,6071849.228839076,4138333.109588131
2024-01-24,21551789.24927855,5206484.188147753,16281228.768114435,6077369.888126314,4168410.7996352217
2024-01-25,21747534.83569196,5233324.475152802,16531490.529591277,6123693.476461489,4174497.76002207
2024-01-26,21535272.884838115,5225883.603507838,16462111.031360073,6110869.877681366,4142495.3049405604
2024-01-29,22096166.18097684,5266542.652139248,16841220.432409152,6181484.163190107,4202519.271870622
2024-01-30,21891734.912639488,5262822.216316767,16806530.68329355,6175113.973708219,4167968.843382872
2024-01-31,20836572.481046118,5177252.192399679,15975892.900184534,6027383.819772012,4066788.6765571977
2024-02-01,21381348.85465406,5238905.128886525,16468024.807637874,6120307.204388317,4110418.536698905
2024-02-02,22007528.75480424,5293914.429976081,16941416.626448106,6202375.134063004,4175680.2604546966
2024-02-05,21796345.62912611,5274515.014615996,16754862.017413015,6168359.723396163,4158511.1431533326
2024-02-06,21835823.36620603,5288068.030826467,16885120.11931193,6192201.468857967,4149969.7324864888
2024-02-07,22363662.844282407,5331118.788200901,17298881.148873184,6268089.34251124,4199427.8362529585
2024-02-08,22445975.431812126,5333776.242359817,17324421.953167092,6272719.269111792,4211782.508498323
2024-02-09,22876601.63476411,5361679.511028432,17592600.39825309,6321191.000353576,4260039.512068442
2024-02-12,22771219.09292039,5358756.3114536265,17564505.513529796,6316170.09594702,4243799.102640982
2024-02-13,21797848.986846436,5284347.595003984,16824421.953167092,6187875.7754683,4148595.4675195557
2024-02-14,22324554.29072805,5334041.987775709,17209130.000172336,6258666.462014271,4201377.8555218475
2024-02-15,22575938.1226117,5364336.9651873475,17443800.43484887,6301307.883420535,4220062.386169861
2024-02-16,22248004.898439217,5335902.205686949,17203068.824227963,6258032.573253165,4187744.667679472
2024-02-20,21893633.33544221,5305872.973691201,16958934.314408094,6211989.049353326,4151852.6296246173
2024-02-21,21812311.876621414,5310922.136593141,16999977.497427654,6219798.3079655925,4131211.63048893
2024-02-22,22958633.939533405,5418814.77544512,17835692.944912713,6372777.141130124,4246713.842380378
2024-02-23,22934241.87719432,5422800.956683494,17868054.795845903,6378279.460544564,4238535.32869883
2024-02-26,22772094.000943266,5400212.59633271,17684440.556021564,6347039.539175962,4229328.12266581
2024-02-27,22886567.018333867,5410576.667552481,17768687.089588024,6361404.50820974,4241016.480069072
2024-02-28,22700194.09284544,5401009.832580385,17690921.058603596,6348180.9993412,4215296.311815334
2024-02-29,23048257.46859433,5425192.66542652,17887496.303592008,6381811.4722084,4257598.505896206
2024-03-01,23634390.23881049,5470103.640712194,18252564.615713343,6443650.752924082,4324616.300109071
2024-03-04,23507363.517437663,5461865.532819556,18170038.59204807,6429109.344871903,4311132.350384991
2024-03-05,22600923.011831593,5406058.995482325,17612334.16395878,6330586.155102788,4210961.867593157
2024-03-06,22951626.75000001,5433696.518735049,17869958.284643527,6376841.930153235,4245536.045605268
